gender,family_support,internet,higher_edu,activities,romantic,absences,study_time,failures,G1,G2,G3
M,medium,1,0,0,0,0,1,1,4,0,0
M,medium,0,1,1,0,4,1,3,6,11,9
M,medium,1,0,1,0,9,2,2,4,8,8
M,medium,1,1,1,1,6,1,0,7,8,8
M,medium,1,0,1,1,4,1,3,8,9,9
F,medium,0,1,1,1,8,2,2,5,5,7
F,low,0,1,1,0,9,1,0,7,9,10
M,low,1,0,0,1,12,1,1,8,11,10
F,high,1,1,0,0,8,1,0,10,11,10
M,medium,1,1,0,0,8,1,0,9,10,11
M,low,1,1,0,0,8,2,1,10,9,11
M,medium,1,1,0,0,4,2,1,8,9,10
M,low,1,0,0,1,0,1,0,9,10,9
M,low,1,1,0,0,4,1,1,8,9,10
F,low,0,1,0,0,2,2,2,6,8,8
F,low,0,0,0,0,0,1,0,6,8,7
F,medium,1,0,0,1,0,1,1,8,6,0
F,low,1,1,0,0,0,1,0,10,11,11
F,medium,0,0,0,0,5,3,0,8,7,8
F,high,1,1,1,0,0,2,0,8,8,0
F,medium,1,1,1,0,3,2,1,7,6,8
F,high,0,1,0,1,0,1,0,8,10,9
F,low,1,1,0,0,0,1,0,7,10,10
F,low,0,1,1,1,3,2,2,7,8,7
F,medium,1,1,1,0,2,2,0,12,13,14
F,medium,1,1,0,0,0,1,0,11,12,13
F,low,1,1,0,0,0,2,0,12,13,14
F,high,1,1,1,0,0,2,0,18,18,18
M,high,1,1,1,0,3,1,0,17,17,17
F,high,1,1,0,0,0,2,0,17,18,18
F,medium,0,1,1,1,0,2,1,9,0,0
M,low,0,1,0,0,8,1,0,10,11,11
M,high,1,1,1,1,5,1,0,12,13,14
M,low,0,0,0,0,4,1,0,12,13,14
F,medium,1,1,0,1,4,2,0,8,8,10
F,medium,1,1,0,1,0,3,0,11,12,13
F,high,1,1,1,1,0,2,0,5,0,0
F,low,0,0,0,0,2,2,1,9,10,10
F,low,0,0,0,0,0,1,1,5,0,0
F,high,1,1,0,1,0,4,0,18,18,18
F,medium,1,1,1,1,5,2,0,11,11,12
F,low,0,1,0,1,2,2,0,8,10,11
F,low,0,0,0,0,0,2,0,11,11,12
F,low,0,0,1,1,0,2,3,8,0,0
F,medium,1,1,0,1,5,3,0,14,14,15
M,high,1,1,1,1,4,2,1,10,11,11
F,medium,0,1,0,1,0,2,0,10,10,10
F,high,1,1,1,0,2,2,0,12,12,12
F,medium,0,1,0,1,0,2,0,15,14,15
M,low,1,1,0,1,2,1,0,14,13,14
F,low,1,1,0,0,0,3,0,19,17,18
F,low,0,1,0,1,0,2,0,16,15,15
F,medium,1,1,0,1,6,2,0,13,12,13
F,high,1,1,1,1,4,2,0,15,14,15
F,low,0,1,0,0,0,2,0,13,13,13
M,low,0,1,0,0,0,2,0,8,10,9
M,high,1,1,0,1,0,3,0,15,16,16
F,low,1,1,0,1,0,1,1,8,8,9
F,medium,1,1,0,1,0,1,0,10,10,10
F,high,1,1,0,1,0,2,0,7,5,0
M,low,1,0,1,1,3,1,0,9,10,10
F,medium,0,1,1,1,8,3,0,10,11,12
F,low,1,1,1,0,4,1,0,7,8,9
F,high,1,1,0,0,0,3,0,15,17,17
F,low,1,1,0,0,4,3,0,10,11,12
F,low,1,1,0,1,4,2,1,7,8,9
F,high,1,1,1,0,1,2,0,13,14,14
F,medium,1,1,0,1,1,2,0,16,16,16
F,medium,1,1,1,0,10,2,0,8,9,9
M,high,1,1,1,0,4,2,0,17,18,19
M,medium,1,1,1,1,0,1,0,7,7,0
M,medium,1,1,1,0,4,2,0,14,15,16
M,low,0,1,0,0,0,1,1,5,8,0
M,high,0,1,0,0,0,1,1,7,7,0
F,medium,0,1,0,0,0,3,0,14,17,15
F,high,1,1,0,0,0,2,0,6,9,11
F,high,1,1,1,1,4,1,0,7,9,10
F,medium,1,1,1,0,4,3,1,10,11,10
F,medium,1,1,0,0,4,2,0,15,15,16
F,low,0,1,1,0,6,2,0,11,12,9
M,medium,1,1,0,0,6,1,0,10,10,10
M,medium,1,1,0,0,4,1,0,10,11,11
